"","AMZN","COST","Date"
"592",6.41,56.51,"2010-08-11"
"593",6.4,56.79,"2010-08-10"
"594",6.42,56.55,"2010-08-09"
"595",6.34,56.25,"2010-08-06"
"596",6.34,56.74,"2010-08-05"
"597",6.15,56.49,"2010-08-04"
"598",6,56.62,"2010-08-03"
"599",5.96,57.06,"2010-08-02"
"600",5.78,55.71,"2010-07-30"
"601",5.9,56.74,"2010-07-29"
"602",5.85,57.22,"2010-07-28"
"603",5.92,56.49,"2010-07-27"
"604",5.91,55.79,"2010-07-26"
"605",5.3,55,"2010-07-23"
"606",5.94,54.09,"2010-07-22"
"607",6.03,55.07,"2010-07-21"
"608",6.03,54.37,"2010-07-20"
"609",5.92,55.13,"2010-07-19"
"610",6.06,56.59,"2010-07-16"
"611",6.01,56.37,"2010-07-15"
"612",6.15,56.39,"2010-07-14"
"613",6.03,56.15,"2010-07-13"
"614",5.89,56.05,"2010-07-12"
"615",5.83,56.29,"2010-07-09"
"616",5.75,54.78,"2010-07-08"
"617",5.49,53.76,"2010-07-07"
"618",5.53,54.69,"2010-07-06"
"619",5.55,55.18,"2010-07-02"
"620",5.45,54.73,"2010-07-01"
"621",5.43,55.52,"2010-06-30"
"622",5.81,56.18,"2010-06-29"
"623",5.94,56.59,"2010-06-28"
"624",5.91,56.17,"2010-06-25"
"625",6.03,57.17,"2010-06-24"
"626",6.11,57.59,"2010-06-23"
"627",6.13,57.99,"2010-06-22"
"628",6.34,58.5,"2010-06-21"
"629",6.32,58.5,"2010-06-18"
"630",6.34,58.59,"2010-06-17"
"631",6.27,58.47,"2010-06-16"
"632",6.16,57.93,"2010-06-15"
"633",6.21,57.64,"2010-06-14"
"634",6.07,57.18,"2010-06-11"
"635",6,57.82,"2010-06-10"
"636",6.02,56.68,"2010-06-09"
"637",6.1,55.69,"2010-06-08"
"638",6.29,56.01,"2010-06-07"
"639",6.32,57.45,"2010-06-04"
"640",6.31,58.23,"2010-06-03"
"641",6.2,58.34,"2010-06-02"
"642",6.25,58.18,"2010-06-01"
"643",6.3,58.79,"2010-05-28"
"644",6.25,57.34,"2010-05-27"
"645",6.25,56.6,"2010-05-26"
"646",5.93,55.96,"2010-05-25"
"647",6.13,57.18,"2010-05-24"
"648",5.89,55.93,"2010-05-21"
"649",6.13,57,"2010-05-20"
"650",6.28,57.49,"2010-05-19"
"651",6.51,58.64,"2010-05-18"
"652",6.41,57.82,"2010-05-17"
"653",6.52,57.27,"2010-05-14"
"654",6.7,57.81,"2010-05-13"
"655",6.57,58.06,"2010-05-12"
"656",6.5,57.4,"2010-05-11"
"657",6.49,58.62,"2010-05-10"
"658",6.4,57.86,"2010-05-07"
"659",6.5,58.95,"2010-05-06"
"660",6.4,59.75,"2010-05-05"
"661",6.78,58.83,"2010-05-04"
"662",6.86,59.03,"2010-05-03"
"663",7.07,59.13,"2010-04-30"
"664",7,59.01,"2010-04-29"
"665",7.13,59.3,"2010-04-28"
"666",7.28,60.25,"2010-04-27"
"667",7.16,60.2,"2010-04-26"
"668",7.27,60.07,"2010-04-23"
"669",7.35,59.23,"2010-04-22"
"670",7.26,59.4,"2010-04-21"
"671",7.19,59.7,"2010-04-20"
"672",7.12,59.29,"2010-04-19"
"673",7.24,58.96,"2010-04-16"
"674",7.23,59.41,"2010-04-15"
"675",7.02,59.79,"2010-04-14"
"676",7.06,60.22,"2010-04-13"
"677",7,60.89,"2010-04-12"
